datetime,demand_mw,actual_risk_label,predicted_risk_label,risk_score
2018-01-16 17:00:00,36946.0,Medium,Medium,9.34
2018-01-16 18:00:00,39275.0,Medium,Medium,11.79
2018-01-16 19:00:00,39543.0,Medium,High,56.8
2018-01-16 20:00:00,39073.0,Medium,Medium,33.3
2018-01-16 21:00:00,38197.0,Medium,Medium,20.32
2018-01-16 22:00:00,36476.0,Medium,Medium,10.01
2018-01-16 23:00:00,34184.0,Low,Medium,3.52
2018-01-17 00:00:00,32107.0,Low,Low,1.91
2018-01-17 01:00:00,30673.0,Low,Low,0.43
2018-01-17 02:00:00,30038.0,Low,Low,0.18
2018-01-17 03:00:00,29809.0,Low,Low,0.17
2018-01-17 04:00:00,29997.0,Low,Low,0.14
2018-01-17 05:00:00,31001.0,Low,Low,0.08
2018-01-17 06:00:00,33156.0,Low,Low,0.2
2018-01-17 07:00:00,36292.0,Medium,Medium,1.06
2018-01-17 08:00:00,38367.0,Medium,Medium,3.33
2018-01-17 09:00:00,39041.0,Medium,Medium,38.18
2018-01-17 10:00:00,39466.0,Medium,Medium,41.42
2018-01-17 11:00:00,39774.0,High,Medium,44.82
2018-01-17 12:00:00,39834.0,High,Medium,39.84
2018-01-17 13:00:00,39630.0,Medium,Medium,36.08
2018-01-17 14:00:00,39457.0,Medium,Medium,29.68
2018-01-17 15:00:00,39297.0,Medium,Medium,29.62
2018-01-17 16:00:00,39514.0,Medium,Medium,30.36
2018-01-17 17:00:00,40527.0,High,Medium,44.43
2018-01-17 18:00:00,42926.0,High,High,78.42
2018-01-17 19:00:00,43373.0,High,High,87.63
2018-01-17 20:00:00,43004.0,High,High,92.32
2018-01-17 21:00:00,42200.0,High,High,92.45
2018-01-17 22:00:00,40717.0,High,High,82.51
2018-01-17 23:00:00,38629.0,Medium,Medium,13.2
2018-01-18 00:00:00,36813.0,Medium,Medium,2.3
2018-01-18 01:00:00,35767.0,Medium,Medium,0.71
2018-01-18 02:00:00,35391.0,Medium,Medium,0.59
2018-01-18 03:00:00,35352.0,Medium,Medium,1.15
2018-01-18 04:00:00,35752.0,Medium,Medium,1.57
2018-01-18 05:00:00,36565.0,Medium,Medium,3.51
2018-01-18 06:00:00,38726.0,Medium,Medium,5.74
2018-01-18 07:00:00,42087.0,High,Medium,41.85
2018-01-18 08:00:00,43679.0,High,High,88.33
2018-01-18 09:00:00,42726.0,High,High,94.4
2018-01-18 10:00:00,41061.0,High,High,92.63
2018-01-18 11:00:00,39603.0,Medium,High,77.17
2018-01-18 12:00:00,38375.0,Medium,Medium,26.92
2018-01-18 13:00:00,37209.0,Medium,Medium,14.74
2018-01-18 14:00:00,36476.0,Medium,Medium,11.14
2018-01-18 15:00:00,35941.0,Medium,Medium,9.63
2018-01-18 16:00:00,36098.0,Medium,Medium,10.78
2018-01-18 17:00:00,37408.0,Medium,Medium,16.57
2018-01-18 18:00:00,39950.0,High,Medium,37.79
2018-01-18 19:00:00,40719.0,High,High,78.34
2018-01-18 20:00:00,40486.0,High,High,79.27
2018-01-18 21:00:00,39889.0,High,High,61.5
2018-01-18 22:00:00,38552.0,Medium,Medium,18.69
2018-01-18 23:00:00,36489.0,Medium,Medium,5.51
2018-01-19 00:00:00,34651.0,Medium,Medium,1.37
2018-01-19 01:00:00,33447.0,Low,Medium,1.17
2018-01-19 02:00:00,32892.0,Low,Low,0.79
2018-01-19 03:00:00,32731.0,Low,Low,0.97
2018-01-19 04:00:00,33016.0,Low,Low,0.73
2018-01-19 05:00:00,33958.0,Low,Medium,1.89
2018-01-19 06:00:00,36087.0,Medium,Medium,2.57
2018-01-19 07:00:00,39489.0,Medium,Medium,16.4
2018-01-19 08:00:00,40942.0,High,High,67.32
2018-01-19 09:00:00,39991.0,High,High,90.03
2018-01-19 10:00:00,38326.0,Medium,High,54.74
2018-01-19 11:00:00,36796.0,Medium,Medium,18.64
2018-01-19 12:00:00,35409.0,Medium,Medium,8.96
2018-01-19 13:00:00,34340.0,Medium,Medium,8.2
2018-01-19 14:00:00,33618.0,Low,Medium,5.75
2018-01-19 15:00:00,33130.0,Low,Medium,3.37
2018-01-19 16:00:00,33146.0,Low,Medium,2.78
2018-01-19 17:00:00,34080.0,Low,Medium,2.94
2018-01-19 18:00:00,36415.0,Medium,Medium,5.39
2018-01-19 19:00:00,37048.0,Medium,Medium,3.11
2018-01-19 20:00:00,36695.0,Medium,Medium,4.77
2018-01-19 21:00:00,36063.0,Medium,Medium,5.3
2018-01-19 22:00:00,35004.0,Medium,Medium,3.08
2018-01-19 23:00:00,33352.0,Low,Medium,2.02
2018-01-20 00:00:00,31755.0,Low,Low,1.71
2018-01-20 01:00:00,30374.0,Low,Low,0.64
2018-01-20 02:00:00,29622.0,Low,Low,0.19
2018-01-20 03:00:00,29291.0,Low,Low,0.14
2018-01-20 04:00:00,29215.0,Low,Low,0.13
2018-01-20 05:00:00,29534.0,Low,Low,0.09
2018-01-20 06:00:00,30314.0,Low,Low,0.16
2018-01-20 07:00:00,31545.0,Low,Low,0.26
2018-01-20 08:00:00,32548.0,Low,Low,0.18
2018-01-20 09:00:00,32843.0,Low,Low,0.48
2018-01-20 10:00:00,32158.0,Low,Medium,1.43
2018-01-20 11:00:00,31204.0,Low,Low,0.58
2018-01-20 12:00:00,30316.0,Low,Low,0.46
2018-01-20 13:00:00,29454.0,Low,Low,0.31
2018-01-20 14:00:00,28704.0,Low,Low,0.13
2018-01-20 15:00:00,28357.0,Low,Low,0.09
2018-01-20 16:00:00,28528.0,Low,Low,0.04
2018-01-20 17:00:00,29452.0,Low,Low,0.38
2018-01-20 18:00:00,31758.0,Low,Low,0.27
2018-01-20 19:00:00,32459.0,Low,Low,0.17
2018-01-20 20:00:00,32203.0,Low,Low,0.38
2018-01-20 21:00:00,31841.0,Low,Low,0.38
2018-01-20 22:00:00,31135.0,Low,Low,0.25
2018-01-20 23:00:00,29896.0,Low,Low,0.17
2018-01-21 00:00:00,28611.0,Low,Low,0.0
2018-01-21 01:00:00,27529.0,Low,Low,0.0
2018-01-21 02:00:00,26943.0,Low,Low,0.0
2018-01-21 03:00:00,26683.0,Low,Low,0.0
2018-01-21 04:00:00,26606.0,Low,Low,0.0
2018-01-21 05:00:00,26873.0,Low,Low,0.0
2018-01-21 06:00:00,27552.0,Low,Low,0.0
2018-01-21 07:00:00,28557.0,Low,Low,0.0
2018-01-21 08:00:00,29346.0,Low,Low,0.0
2018-01-21 09:00:00,30061.0,Low,Low,0.0
2018-01-21 10:00:00,30142.0,Low,Low,0.0
2018-01-21 11:00:00,29708.0,Low,Low,0.0
2018-01-21 12:00:00,29365.0,Low,Low,0.0
2018-01-21 13:00:00,28876.0,Low,Low,0.0
2018-01-21 14:00:00,28496.0,Low,Low,0.0
2018-01-21 15:00:00,28460.0,Low,Low,0.0
2018-01-21 16:00:00,28724.0,Low,Low,0.0
2018-01-21 17:00:00,29863.0,Low,Low,0.0
2018-01-21 18:00:00,31909.0,Low,Low,0.0
2018-01-21 19:00:00,32569.0,Low,Low,0.0
2018-01-21 20:00:00,31916.0,Low,Low,0.08
2018-01-21 21:00:00,31294.0,Low,Low,0.08
2018-01-21 22:00:00,30009.0,Low,Low,0.01
2018-01-21 23:00:00,28503.0,Low,Low,0.0
2018-01-22 00:00:00,26638.0,Low,Low,0.0
2018-01-22 01:00:00,25390.0,Low,Low,0.0
2018-01-22 02:00:00,24737.0,Low,Low,0.0
2018-01-22 03:00:00,24447.0,Low,Low,0.0
2018-01-22 04:00:00,24504.0,Low,Low,0.0
2018-01-22 05:00:00,25324.0,Low,Low,0.0
2018-01-22 06:00:00,27403.0,Low,Low,0.0
2018-01-22 07:00:00,30857.0,Low,Low,0.0
2018-01-22 08:00:00,32625.0,Low,Low,0.0
2018-01-22 09:00:00,32629.0,Low,Low,0.04
2018-01-22 10:00:00,32322.0,Low,Low,0.04
2018-01-22 11:00:00,31880.0,Low,Low,0.03
2018-01-22 12:00:00,31238.0,Low,Low,0.02
2018-01-22 13:00:00,30809.0,Low,Low,0.46
2018-01-22 14:00:00,30555.0,Low,Low,0.45
2018-01-22 15:00:00,30292.0,Low,Low,0.0
2018-01-22 16:00:00,30347.0,Low,Low,0.0
2018-01-22 17:00:00,31281.0,Low,Low,0.0
2018-01-22 18:00:00,33527.0,Low,Low,0.03
2018-01-22 19:00:00,33969.0,Low,Medium,0.2
2018-01-22 20:00:00,33512.0,Low,Low,0.4
2018-01-22 21:00:00,32614.0,Low,Low,0.71
2018-01-22 22:00:00,31075.0,Low,Low,0.61
2018-01-22 23:00:00,28954.0,Low,Low,0.53
2018-01-23 00:00:00,27008.0,Low,Low,0.0
2018-01-23 01:00:00,25625.0,Low,Low,0.0
2018-01-23 02:00:00,24831.0,Low,Low,0.0
2018-01-23 03:00:00,24496.0,Low,Low,0.04
2018-01-23 04:00:00,24497.0,Low,Low,0.0
2018-01-23 05:00:00,25164.0,Low,Low,0.0
2018-01-23 06:00:00,27135.0,Low,Low,0.0
2018-01-23 07:00:00,30303.0,Low,Low,0.0
2018-01-23 08:00:00,32189.0,Low,Low,0.0
2018-01-23 09:00:00,32172.0,Low,Low,0.02
2018-01-23 10:00:00,32071.0,Low,Low,0.13
2018-01-23 11:00:00,31744.0,Low,Low,0.24
2018-01-23 12:00:00,31222.0,Low,Low,0.24
2018-01-23 13:00:00,30520.0,Low,Low,0.1
2018-01-23 14:00:00,29955.0,Low,Low,0.1
2018-01-23 15:00:00,29939.0,Low,Low,0.1
2018-01-23 16:00:00,30228.0,Low,Low,0.1
2018-01-23 17:00:00,31198.0,Low,Low,0.22
2018-01-23 18:00:00,33134.0,Low,Low,0.07
2018-01-23 19:00:00,33849.0,Low,Medium,0.25
2018-01-23 20:00:00,33497.0,Low,Low,0.37
2018-01-23 21:00:00,32878.0,Low,Low,0.44
2018-01-23 22:00:00,31476.0,Low,Low,0.26
2018-01-23 23:00:00,29441.0,Low,Low,0.11
2018-01-24 00:00:00,27630.0,Low,Low,0.04
2018-01-24 01:00:00,26322.0,Low,Low,0.04
2018-01-24 02:00:00,25717.0,Low,Low,0.0
2018-01-24 03:00:00,25453.0,Low,Low,0.0
2018-01-24 04:00:00,25646.0,Low,Low,0.0
2018-01-24 05:00:00,26534.0,Low,Low,0.0
2018-01-24 06:00:00,28743.0,Low,Low,0.0
2018-01-24 07:00:00,32203.0,Low,Low,0.01
2018-01-24 08:00:00,34090.0,Low,Low,0.02
2018-01-24 09:00:00,34242.0,Low,Medium,0.5
2018-01-24 10:00:00,34113.0,Low,Medium,0.73
2018-01-24 11:00:00,33713.0,Low,Medium,1.3
2018-01-24 12:00:00,33039.0,Low,Medium,1.26
2018-01-24 13:00:00,32552.0,Low,Low,0.63
2018-01-24 14:00:00,32500.0,Low,Low,0.43
2018-01-24 15:00:00,32634.0,Low,Low,0.43
2018-01-24 16:00:00,33297.0,Low,Low,0.4
2018-01-24 17:00:00,34688.0,Medium,Medium,0.7
2018-01-24 18:00:00,36982.0,Medium,Medium,1.6
2018-01-24 19:00:00,37569.0,Medium,Medium,1.85
2018-01-24 20:00:00,37313.0,Medium,Medium,2.72
2018-01-24 21:00:00,36650.0,Medium,Medium,2.6
2018-01-24 22:00:00,35167.0,Medium,Medium,3.29
2018-01-24 23:00:00,32918.0,Low,Medium,1.98
2018-01-25 00:00:00,31040.0,Low,Low,0.54
2018-01-25 01:00:00,29840.0,Low,Low,0.49
2018-01-25 02:00:00,29298.0,Low,Low,0.49
2018-01-25 03:00:00,29214.0,Low,Low,0.04
2018-01-25 04:00:00,29502.0,Low,Low,0.04
2018-01-25 05:00:00,30469.0,Low,Low,0.04
2018-01-25 06:00:00,32762.0,Low,Low,0.06
2018-01-25 07:00:00,36434.0,Medium,Medium,0.27
2018-01-25 08:00:00,38127.0,Medium,Medium,1.82
2018-01-25 09:00:00,37416.0,Medium,Medium,11.46
2018-01-25 10:00:00,36169.0,Medium,Medium,4.47
2018-01-25 11:00:00,35217.0,Medium,Medium,3.88
2018-01-25 12:00:00,34396.0,Medium,Medium,4.25
2018-01-25 13:00:00,33706.0,Low,Medium,3.5
2018-01-25 14:00:00,33339.0,Low,Low,2.01
2018-01-25 15:00:00,33135.0,Low,Low,1.59
2018-01-25 16:00:00,33524.0,Low,Low,1.35
2018-01-25 17:00:00,34988.0,Medium,Medium,1.59
2018-01-25 18:00:00,37631.0,Medium,Medium,2.48
2018-01-25 19:00:00,38762.0,Medium,Medium,2.27
2018-01-25 20:00:00,38651.0,Medium,Medium,5.64
2018-01-25 21:00:00,38057.0,Medium,Medium,2.49
2018-01-25 22:00:00,36782.0,Medium,Medium,2.62
2018-01-25 23:00:00,34805.0,Medium,Medium,2.27
2018-01-26 00:00:00,33021.0,Low,Low,0.82
2018-01-26 01:00:00,31850.0,Low,Low,0.09
2018-01-26 02:00:00,31421.0,Low,Low,0.0
2018-01-26 03:00:00,31374.0,Low,Low,0.0
2018-01-26 04:00:00,31700.0,Low,Low,0.0
2018-01-26 05:00:00,32745.0,Low,Low,0.0
2018-01-26 06:00:00,34980.0,Medium,Medium,0.53
2018-01-26 07:00:00,38515.0,Medium,Medium,1.54
2018-01-26 08:00:00,39985.0,High,Medium,20.1
2018-01-26 09:00:00,38968.0,Medium,Medium,38.3
2018-01-26 10:00:00,36849.0,Medium,Medium,13.2
2018-01-26 11:00:00,35323.0,Medium,Medium,3.96
2018-01-26 12:00:00,34032.0,Low,Medium,2.73
2018-01-26 13:00:00,32916.0,Low,Medium,2.49
2018-01-26 14:00:00,32313.0,Low,Low,1.1
2018-01-26 15:00:00,31974.0,Low,Low,1.07
2018-01-26 16:00:00,32154.0,Low,Low,0.49
2018-01-26 17:00:00,33317.0,Low,Low,0.64
2018-01-26 18:00:00,35660.0,Medium,Medium,1.39
2018-01-26 19:00:00,36492.0,Medium,Medium,2.0
2018-01-26 20:00:00,36141.0,Medium,Medium,1.96
2018-01-26 21:00:00,35519.0,Medium,Medium,2.03
