datetime,actual_demand_mw,predicted_demand_mw,model
2018-07-12 04:00:00,27314.0,27945.38,xgboost_regressor
2018-07-12 05:00:00,27150.0,27724.6,xgboost_regressor
2018-07-12 06:00:00,28072.0,28494.379,xgboost_regressor
2018-07-12 07:00:00,29919.0,30104.2,xgboost_regressor
2018-07-12 08:00:00,32262.0,32153.762,xgboost_regressor
2018-07-12 09:00:00,34365.0,34297.05,xgboost_regressor
2018-07-12 10:00:00,36208.0,36190.926,xgboost_regressor
2018-07-12 11:00:00,38167.0,38042.496,xgboost_regressor
2018-07-12 12:00:00,39765.0,39901.207,xgboost_regressor
2018-07-12 13:00:00,41289.0,41257.89,xgboost_regressor
2018-07-12 14:00:00,42744.0,42797.09,xgboost_regressor
2018-07-12 15:00:00,43799.0,43636.4,xgboost_regressor
2018-07-12 16:00:00,44622.0,44830.574,xgboost_regressor
2018-07-12 17:00:00,45162.0,45415.04,xgboost_regressor
2018-07-12 18:00:00,45202.0,45805.992,xgboost_regressor
2018-07-12 19:00:00,44188.0,44007.355,xgboost_regressor
2018-07-12 20:00:00,42278.0,42871.457,xgboost_regressor
2018-07-12 21:00:00,40614.0,41375.06,xgboost_regressor
2018-07-12 22:00:00,39212.0,39213.266,xgboost_regressor
2018-07-12 23:00:00,36168.0,36241.06,xgboost_regressor
2018-07-13 00:00:00,32887.0,33119.19,xgboost_regressor
2018-07-13 01:00:00,30004.0,30689.29,xgboost_regressor
2018-07-13 02:00:00,28104.0,28546.18,xgboost_regressor
2018-07-13 03:00:00,26823.0,27188.654,xgboost_regressor
2018-07-13 04:00:00,26097.0,26324.355,xgboost_regressor
2018-07-13 05:00:00,26072.0,26362.736,xgboost_regressor
2018-07-13 06:00:00,26969.0,27709.52,xgboost_regressor
2018-07-13 07:00:00,28777.0,28931.79,xgboost_regressor
2018-07-13 08:00:00,31322.0,30746.518,xgboost_regressor
2018-07-13 09:00:00,33540.0,33039.656,xgboost_regressor
2018-07-13 10:00:00,35506.0,35387.535,xgboost_regressor
2018-07-13 11:00:00,37451.0,37066.56,xgboost_regressor
2018-07-13 12:00:00,39153.0,38791.508,xgboost_regressor
2018-07-13 13:00:00,40552.0,40370.88,xgboost_regressor
2018-07-13 14:00:00,42200.0,41470.883,xgboost_regressor
2018-07-13 15:00:00,43465.0,43596.12,xgboost_regressor
2018-07-13 16:00:00,44485.0,44301.223,xgboost_regressor
2018-07-13 17:00:00,45207.0,45592.69,xgboost_regressor
2018-07-13 18:00:00,45368.0,45810.926,xgboost_regressor
2018-07-13 19:00:00,44352.0,44117.496,xgboost_regressor
2018-07-13 20:00:00,42301.0,42832.293,xgboost_regressor
2018-07-13 21:00:00,40150.0,41275.125,xgboost_regressor
2018-07-13 22:00:00,38638.0,38848.605,xgboost_regressor
2018-07-13 23:00:00,35709.0,36081.582,xgboost_regressor
2018-07-14 00:00:00,32597.0,32850.027,xgboost_regressor
2018-07-14 01:00:00,29814.0,30215.646,xgboost_regressor
2018-07-14 02:00:00,27773.0,28286.777,xgboost_regressor
2018-07-14 03:00:00,26383.0,26619.736,xgboost_regressor
2018-07-14 04:00:00,25464.0,25763.877,xgboost_regressor
2018-07-14 05:00:00,25068.0,25514.041,xgboost_regressor
2018-07-14 06:00:00,25066.0,25429.326,xgboost_regressor
2018-07-14 07:00:00,25489.0,25601.82,xgboost_regressor
2018-07-14 08:00:00,27241.0,26663.23,xgboost_regressor
2018-07-14 09:00:00,29717.0,28980.87,xgboost_regressor
2018-07-14 10:00:00,32295.0,31304.057,xgboost_regressor
2018-07-14 11:00:00,34784.0,33947.035,xgboost_regressor
2018-07-14 12:00:00,37040.0,36193.59,xgboost_regressor
2018-07-14 13:00:00,38782.0,38415.47,xgboost_regressor
2018-07-14 14:00:00,40343.0,39866.008,xgboost_regressor
2018-07-14 15:00:00,41810.0,41233.7,xgboost_regressor
2018-07-14 16:00:00,43166.0,42801.58,xgboost_regressor
2018-07-14 17:00:00,44380.0,43558.332,xgboost_regressor
2018-07-14 18:00:00,44984.0,44849.996,xgboost_regressor
2018-07-14 19:00:00,44606.0,43417.85,xgboost_regressor
2018-07-14 20:00:00,43030.0,43222.086,xgboost_regressor
2018-07-14 21:00:00,41351.0,41468.41,xgboost_regressor
2018-07-14 22:00:00,40018.0,39870.37,xgboost_regressor
2018-07-14 23:00:00,37423.0,37240.566,xgboost_regressor
2018-07-15 00:00:00,34543.0,34093.01,xgboost_regressor
2018-07-15 01:00:00,31822.0,31673.365,xgboost_regressor
2018-07-15 02:00:00,29820.0,29784.959,xgboost_regressor
2018-07-15 03:00:00,28409.0,28714.734,xgboost_regressor
2018-07-15 04:00:00,27472.0,27637.195,xgboost_regressor
2018-07-15 05:00:00,26832.0,27241.904,xgboost_regressor
2018-07-15 06:00:00,26712.0,26867.828,xgboost_regressor
2018-07-15 07:00:00,26749.0,27193.098,xgboost_regressor
2018-07-15 08:00:00,27771.0,27469.438,xgboost_regressor
2018-07-15 09:00:00,29624.0,28418.498,xgboost_regressor
2018-07-15 10:00:00,31808.0,30928.22,xgboost_regressor
2018-07-15 11:00:00,33782.0,33021.61,xgboost_regressor
2018-07-15 12:00:00,34840.0,35358.926,xgboost_regressor
2018-07-15 13:00:00,35304.0,35897.945,xgboost_regressor
2018-07-15 14:00:00,36039.0,36336.402,xgboost_regressor
2018-07-15 15:00:00,36899.0,37144.67,xgboost_regressor
2018-07-15 16:00:00,38385.0,37820.7,xgboost_regressor
2018-07-15 17:00:00,40418.0,39252.945,xgboost_regressor
2018-07-15 18:00:00,42005.0,41152.758,xgboost_regressor
2018-07-15 19:00:00,42348.0,41226.734,xgboost_regressor
2018-07-15 20:00:00,41550.0,41634.95,xgboost_regressor
2018-07-15 21:00:00,40646.0,40556.734,xgboost_regressor
2018-07-15 22:00:00,39819.0,39245.727,xgboost_regressor
2018-07-15 23:00:00,37301.0,37311.258,xgboost_regressor
2018-07-16 00:00:00,34259.0,34295.062,xgboost_regressor
2018-07-16 01:00:00,31711.0,31745.996,xgboost_regressor
2018-07-16 02:00:00,29945.0,30094.889,xgboost_regressor
2018-07-16 03:00:00,28772.0,29181.686,xgboost_regressor
2018-07-16 04:00:00,28250.0,28313.566,xgboost_regressor
2018-07-16 05:00:00,28477.0,28557.828,xgboost_regressor
2018-07-16 06:00:00,29784.0,29561.764,xgboost_regressor
2018-07-16 07:00:00,31949.0,31620.475,xgboost_regressor
2018-07-16 08:00:00,35160.0,33783.035,xgboost_regressor
2018-07-16 09:00:00,38139.0,36250.42,xgboost_regressor
2018-07-16 10:00:00,41134.0,39172.82,xgboost_regressor
2018-07-16 11:00:00,44199.0,41909.348,xgboost_regressor
2018-07-16 12:00:00,46981.0,45285.613,xgboost_regressor
2018-07-16 13:00:00,49438.0,47193.73,xgboost_regressor
2018-07-16 14:00:00,51410.0,49425.12,xgboost_regressor
2018-07-16 15:00:00,52742.0,51094.06,xgboost_regressor
2018-07-16 16:00:00,53408.0,52316.496,xgboost_regressor
2018-07-16 17:00:00,53764.0,52689.082,xgboost_regressor
2018-07-16 18:00:00,53352.0,52415.848,xgboost_regressor
2018-07-16 19:00:00,52226.0,51878.254,xgboost_regressor
2018-07-16 20:00:00,50618.0,49406.723,xgboost_regressor
2018-07-16 21:00:00,49063.0,48401.87,xgboost_regressor
2018-07-16 22:00:00,47205.0,46776.945,xgboost_regressor
2018-07-16 23:00:00,43544.0,43972.945,xgboost_regressor
2018-07-17 00:00:00,39928.0,39488.355,xgboost_regressor
2018-07-17 01:00:00,36824.0,36765.45,xgboost_regressor
2018-07-17 02:00:00,34665.0,34604.37,xgboost_regressor
2018-07-17 03:00:00,33185.0,33305.305,xgboost_regressor
2018-07-17 04:00:00,32284.0,32135.885,xgboost_regressor
2018-07-17 05:00:00,32257.0,31635.709,xgboost_regressor
2018-07-17 06:00:00,33401.0,32223.105,xgboost_regressor
2018-07-17 07:00:00,35386.0,34437.473,xgboost_regressor
2018-07-17 08:00:00,38360.0,36965.715,xgboost_regressor
2018-07-17 09:00:00,40896.0,39968.945,xgboost_regressor
2018-07-17 10:00:00,43309.0,43069.293,xgboost_regressor
2018-07-17 11:00:00,45887.0,45482.945,xgboost_regressor
2018-07-17 12:00:00,48061.0,48141.53,xgboost_regressor
2018-07-17 13:00:00,49586.0,49895.21,xgboost_regressor
2018-07-17 14:00:00,50490.0,50846.22,xgboost_regressor
2018-07-17 15:00:00,49579.0,51524.652,xgboost_regressor
2018-07-17 16:00:00,46917.0,50726.344,xgboost_regressor
2018-07-17 17:00:00,45172.0,47463.176,xgboost_regressor
2018-07-17 18:00:00,44681.0,46319.887,xgboost_regressor
2018-07-17 19:00:00,43702.0,43600.234,xgboost_regressor
2018-07-17 20:00:00,42426.0,42741.766,xgboost_regressor
2018-07-17 21:00:00,41467.0,41700.01,xgboost_regressor
2018-07-17 22:00:00,40267.0,40261.02,xgboost_regressor
2018-07-17 23:00:00,37211.0,37899.633,xgboost_regressor
2018-07-18 00:00:00,34033.0,34677.777,xgboost_regressor
2018-07-18 01:00:00,31421.0,32362.008,xgboost_regressor
2018-07-18 02:00:00,29604.0,30291.613,xgboost_regressor
2018-07-18 03:00:00,28289.0,29440.703,xgboost_regressor
2018-07-18 04:00:00,27404.0,28421.176,xgboost_regressor
2018-07-18 05:00:00,27307.0,28254.219,xgboost_regressor
2018-07-18 06:00:00,28141.0,28971.188,xgboost_regressor
2018-07-18 07:00:00,29821.0,30435.824,xgboost_regressor
2018-07-18 08:00:00,32274.0,32341.492,xgboost_regressor
2018-07-18 09:00:00,34136.0,34846.664,xgboost_regressor
2018-07-18 10:00:00,35766.0,36356.984,xgboost_regressor
2018-07-18 11:00:00,37339.0,37738.113,xgboost_regressor
2018-07-18 12:00:00,38927.0,39102.46,xgboost_regressor
